heartbreaking	0.969
holocaust	0.953
sjálfsvígshugsanir	0.941
fjöldamorðin	0.931
líknardráp	0.927
ástvinur	0.922
sakaður	0.920
eyðilegging	0.917
dauða	0.915
sjálfsvíg	0.912
stórslys	0.911
skelfilegur	0.907
harmleikur	0.906
niðurdrepandi	0.906
dó	0.906
angist	0.902
banvænn	0.898
ennþá	0.891
látinn	0.891
nauðgun	0.875
að deyja	0.875
krossfesting	0.859
áverka	0.859
grimmdarverk	0.859
framkvæmd	0.859
farast	0.859
cadaver	0.853
svikin	0.848
sorg	0.844
dapur	0.844
eytt	0.844
ofsóknir	0.844
jarðarför	0.844
morði	0.844
vonleysi	0.844
þjáning	0.844
murderous	0.844
óhamingju	0.839
örkumaður	0.836
blóðsúthelling	0.836
mannrán	0.833
særindi	0.833
óþolandi	0.830
dauðsföll	0.830
syrgja	0.828
þrælahald	0.828
sykursýki	0.828
hjálparleysi	0.828
afnám	0.828
yfirgefinn	0.828
fósturláti	0.824
hungursneyð	0.812
bilun	0.812
distraught	0.812
greftrun	0.812
grimmd	0.812
saddens	0.812
mournful	0.812
hryðjuverk	0.812
blóðug	0.806
ómannúðleiki	0.804
illkynja sjúkdómur	0.803
mortification	0.802
banvæn	0.797
hrikalegt	0.797
morð	0.797
drepa	0.797
sarkmein	0.797
lífvana	0.797
galgar	0.797
auðn	0.797
þræll	0.797
lýði	0.797
hvítblæði	0.797
bann	0.790
þjáningar	0.789
disheartened	0.788
grátandi	0.781
hjartsláttur	0.781
jarða	0.781
æxli	0.781
afskriftir	0.781
demoralized	0.781
hryðjuverka	0.781
Lynch	0.773
þjást	0.770
einmanaleiki	0.766
kirkjugarður	0.766
pyntingar	0.766
fóstureyðingu	0.766
sýktur	0.766
dismemberment	0.766
dæmdur	0.766
slayer	0.766
moribund	0.758
hörmung	0.758
fordæming	0.754
örvæntingu	0.750
óhamingjusamur	0.750
heimsfaraldur	0.750
lík	0.750
þunglyndislyf	0.750
þakklátur	0.750
dómsdagur	0.750
fórnarlömb	0.750
útrýmingu	0.750
fordæmingu	0.750
sektarkennd	0.750
hryðjuverkamaður	0.750
incest	0.750
brottnám	0.750
fyrirgefðu	0.750
molestation	0.744
útlegð	0.742
óþarfur	0.742
hellish	0.738
morðingi	0.734
jarðskjálfti	0.734
munaðarlaus	0.734
disgraced	0.734
battered	0.734
horrid	0.734
miserably	0.734
morgue	0.734
hörmulegur	0.734
hernaði	0.734
heimilislaus	0.734
listless	0.729
tómleiki	0.727
alienated	0.727
fraught	0.722
hryllingi	0.719
emaciated	0.719
rýrnun	0.719
Cripple	0.719
skammast sín	0.719
líkþrá	0.719
hrópaði	0.719
vei	0.719
hjartalaust	0.719
vantar	0.719
hætta	0.719
niðurfall	0.717
ofbeldi	0.712
rifið	0.710
ljótur	0.708
grievous	0.704
krabbamein	0.703
disfigured	0.703
refsa	0.703
útdautt	0.703
bráðna	0.703
kúgari	0.703
vansköpuð	0.703
sláturhús	0.703
niðurlægja	0.703
ómannúðlegur	0.703
kæfa	0.703
hearse	0.703
ólæknandi	0.703
grafinn	0.703
lama	0.703
aflögun	0.703
mulið	0.703
einangra	0.703
tárfullur	0.703
obit	0.703
kúla	0.703
fórnarlamb	0.703
einangrun	0.703
lifesucks	0.700
helvíti	0.700
eyðileggjandi	0.698
eyðilagt	0.697
ekkja	0.697
banna	0.697
hverfa	0.695
fluttur	0.691
fátækt	0.690
sorglegt	0.688
veikindi	0.688
sársaukafullt	0.688
yfirgefin	0.688
hospice	0.688
geðveiki	0.688
depraved	0.688
skjóta	0.688
stunga	0.688
einn að eilífu	0.688
vitglöp	0.688
travesty	0.688
infidelity	0.688
faraldur	0.688
teary	0.688
ekkill	0.688
flugstöðinni	0.688
vanrækt	0.688
regretting	0.688
fangelsaðir	0.688
vonlaust	0.688
sölu	0.685
choke	0.682
blæðing	0.673
niðurbrot	0.672
útrýmt	0.672
illgjarn	0.672
dauðadómur	0.672
óvirk	0.672
eitur	0.672
abortive	0.672
gory	0.672
disparage	0.672
kveina	0.672
refsað	0.672
sviptingu	0.672
illt	0.672
jákvætt	0.672
örvænting	0.672
þroskaður	0.670
eitrað	0.667
bardagamaður	0.667
sjúkdómur	0.665
disembodied	0.660
ömurlegt	0.656
gráta	0.656
einmana	0.656
eyðileggja	0.656
kistu	0.656
tár	0.656
shitty	0.656
stela	0.656
mangle	0.656
hata	0.656
ailing	0.656
bleik	0.656
mænusótt	0.656
hræddur	0.656
demonic	0.656
hættu	0.656
skrokknum	0.653
berja	0.652
iðrast	0.652
kátur	0.652
eymd	0.645
uppsögn	0.641
eitraður	0.641
neyðarástand	0.641
hættulegt	0.641
svitahola	0.641
syndug	0.641
sleginn	0.641
hatri	0.641
máttleysi	0.641
exorcism	0.641
ógurlegt	0.641
drukkna	0.641
misrétti	0.641
ófrjósemi	0.641
mistakast	0.641
líkklæði	0.641
geðrof	0.638
harmakvein	0.636
rífa niður	0.636
vonsvikinn	0.636
þungt	0.634
brotinn	0.630
mausoleum	0.630
þunglyndi	0.625
lömun	0.625
bölvaður	0.625
eftirsjá	0.625
getuleysi	0.625
segja upp	0.625
kúgandi	0.625
óyfirstíganlegt	0.625
misnotkun	0.625
forlorn	0.625
tyrann	0.625
vonbrigðum	0.625
rifin	0.625
geðklofa	0.625
glataður	0.625
beiskt	0.625
svívirðing	0.625
posthumous	0.625
flakið	0.625
soulless	0.623
yfirgefa	0.621
depurð	0.621
cremation	0.621
ástandið	0.621
sprengju	0.621
unforgiving	0.612
blóðsýking	0.611
meiða	0.609
óbætanlegt	0.609
fórnir	0.609
grimmur	0.609
fallið niður	0.609
óvart	0.609
minnkandi	0.609
Gore	0.609
meiddur	0.609
skammarlegt	0.609
hræðilega	0.609
einskis virði	0.609
trúrlausir	0.609
sprengja	0.609
niðurlægjandi	0.609
ljótleikur	0.609
subjugation	0.609
debacle	0.609
sjakki	0.609
derogatory	0.609
languishing	0.609
áfengissýki	0.609
útilokaðir	0.609
syndari	0.609
alger	0.609
sekur	0.609
bölva	0.608
ein	0.600
rán	0.600
miltbrún	0.600
ótti	0.598
skömm	0.594
kúgun	0.594
fangelsi	0.594
vonbrigði	0.594
brot	0.594
vendetta	0.594
iðrun	0.594
condolences	0.594
óreiðu	0.594
illi andinn	0.594
hyldýpi	0.594
mengað	0.594
brotið	0.594
brotamaður	0.594
ekkert	0.594
neyð	0.594
bawl	0.594
fall	0.594
löngun	0.594
crypt	0.594
martyrdom	0.594
eviction	0.594
svipt	0.594
smokka	0.594
svíkja	0.594
hjálparvana	0.594
svangur	0.594
dysentery	0.593
melancholic	0.591
korndrepi	0.591
rupture	0.588
svikari	0.588
haggard	0.587
ljúga	0.585
kóleru	0.583
hræðilegt	0.578
niðurlægingu	0.578
óæskilegt	0.578
bölvun	0.578
skaðlegt	0.578
hræða	0.578
degeneracy	0.578
whine	0.578
sordid	0.578
biturð	0.578
mismunun	0.578
neitað	0.578
siðlaust	0.578
interment	0.578
tjón	0.576
djöfullinn	0.576
whimper	0.576
fanga	0.576
svartsýni	0.576
óráð	0.576
deplore	0.576
mislíkaði það	0.576
hateful	0.575
bigoted	0.574
fordition	0.569
hórdómur	0.566
skemmdir	0.565
svik	0.562
gröf	0.562
hlauptu í burtu	0.562
gigt	0.562
herra	0.562
rennur út	0.562
refsandi	0.562
meiðsli	0.562
gervitungl	0.562
anathema	0.562
urn	0.562
flog	0.562
hjartavöðvabólga	0.562
áhyggjuefni	0.562
